muncod_ibge,pop_total,pop_branca,pop_preta,pop_amarela,pop_parda,pop_indigena
1100015,21494,7590,1297,46,11845,715
1100023,96833,31263,9619,317,55534,97
1100031,5351,2136,345,12,2856,2
1100049,86887,32304,6704,365,45836,1675
1100056,15890,6213,1025,59,8580,13
1100064,15663,5577,1199,40,8835,12
1100072,7519,2221,634,8,4636,20
1100080,12627,3221,1272,13,7710,410
1100098,29414,11918,1995,41,14817,643
1100106,39387,6758,3391,111,23781,5346
1100114,50591,15665,4835,73,29949,67
1100122,124333,40561,10928,336,70947,1561
1100130,30707,8174,2962,37,19495,39
1100148,15679,5492,1268,52,8854,13
1100155,35044,11572,2983,123,20322,44
1100189,35079,11876,2588,134,19941,539
1100205,460434,120941,43467,1287,292098,2628
1100254,19327,6760,1180,46,11334,7
1100262,3471,1083,315,14,2050,9
1100288,56406,20003,4213,140,31949,97
1100296,7419,2468,656,35,4258,2
1100304,95832,37752,6946,256,50286,589
1100320,21635,7385,1992,74,12047,136
1100338,25444,6319,1966,52,16068,1038
1100346,13117,4437,1239,16,7416,9
1100379,11479,3543,906,6,6921,103
1100403,16320,4910,1289,6,10104,10
1100452,27992,8490,2169,126,17160,47
1100502,7667,2683,506,9,4467,2
1100601,4150,1245,498,7,2396,4
1100700,8844,2440,724,14,5663,3
1100809,22310,5075,2003,99,14993,138
1100908,3233,1103,232,2,1888,8
1100924,9324,2738,1004,2,5267,313
1100940,14863,3962,1590,64,9210,37
1101005,8001,2172,783,11,4958,77
1101104,8548,1953,730,9,5841,15
1101203,6466,2415,463,3,3582,3
1101302,9235,2977,758,21,5337,141
1101401,11548,3578,1078,24,6844,24
1101435,6200,1837,622,8,3724,9
1101450,4125,1233,386,7,2424,75
1101468,2156,602,401,11,1128,14
1101476,3076,1199,212,6,1658,1
1101484,5258,2034,292,21,2909,2
1101492,16286,5509,1311,23,8994,449
1101500,11171,3828,801,26,6460,56
1101559,4256,1367,392,8,2486,3
1101609,8113,2441,674,15,4975,8
1101708,10725,3088,705,33,6888,11
1101757,7788,2145,723,7,4902,11
1101807,6479,1867,522,2,4085,3
1200013,14021,3477,1670,56,8788,30
1200054,8100,1306,351,13,5234,1195
1200104,26000,5069,1662,35,18957,277
1200138,12917,2634,1903,50,8300,30
1200179,10392,1433,1012,38,7902,7
1200203,91888,21032,7159,122,61940,1632
