"mun_name","uf","concentracao_maxima"
"Morrinhos do Sul","RS","0.97427548029957668512"
"Forquetinha","RS","0.97158378604262432094"
"Monte Belo do Sul","RS","0.96167383652718028940"
"Canudos do Vale","RS","0.96014492753623188406"
"Angelina","SC","0.96005972377752892870"
"Centenario","RS","0.95994119808893789048"
"Tres Arroios","RS","0.95986105750675414898"
"Cunhatai","SC","0.95884146341463414634"
"Vespasiano Correa","RS","0.95434543454345434543"
"Pedras Grandes","SC","0.95335689045936395760"
"Ubiretama","RS","0.95285857572718154463"
"Santa Maria do Herval","RS","0.95283911671924290221"
"Montauri","RS","0.95196797865243495664"
"Nova Candelaria","RS","0.95066971577915713819"
"Sao Joao do Oeste","SC","0.94948371723590150913"
"Sao Bonifacio","SC","0.94942294636795655126"
"Sao Martinho","SC","0.94889867841409691630"
"Santa Rosa de Lima","SC","0.94827586206896551724"
"Candido Godoi","RS","0.94772799491579281856"
"Travesseiro","RS","0.94749070631970260223"
"Rio Fortuna","SC","0.94532700639570868579"
"Uiramuta","RR","0.94451312631808595738"
"Santa Tereza","RS","0.94418604651162790698"
"Dom Pedro de Alcantara","RS","0.94223263075722092116"
"Nova Boa Vista","RS","0.94221351616062683643"
"Barra do Rio Azul","RS","0.94162735849056603774"
"Rondinha","RS","0.94129432979362853136"
"Anta Gorda","RS","0.93973476582172234346"
"Sao Joao da Urtiga","RS","0.93947545393409549428"
"aurea","RS","0.93875147232037691402"
"Nova Padua","RS","0.93811352966282543747"
"Marata","RS","0.93805668016194331984"
"Rio do Oeste","SC","0.93713695624112559701"
"Serio","RS","0.93663060278207109737"
"Nova Brescia","RS","0.93593955321944809461"
"Floriano Peixoto","RS","0.93585131894484412470"
"Ponte Preta","RS","0.93523809523809523810"
"Carlos Gomes","RS","0.93421052631578947368"
"Sao Jose do Inhacora","RS","0.93349958437240232751"
"Santa Clara do Sul","RS","0.93248148685930013068"
"Tupanci do Sul","RS","0.93231441048034934498"
"Colinas","RS","0.93190260008254230293"
"Dois Lajeados","RS","0.93154665805618340329"
"Westfalia","RS","0.93092317624273724984"
"Marques de Souza","RS","0.92995716805240614764"
"Severiano de Almeida","RS","0.92982971227246036406"
"Lagoa dos Tres Cantos","RS","0.92980437284234752589"
"Sao Jose do Hortencio","RS","0.92961547110411513380"
"Caraa","RS","0.92953746280768190425"
"Ibiam","SC","0.92828685258964143426"
"Campina das Missoes","RS","0.92774566473988439306"
"Treze de Maio","SC","0.92746536267318663407"
"Vidal Ramos","SC","0.92696719987073840685"
"Boa Vista do Ramos","AM","0.92684464998948917385"
"Pareci Novo","RS","0.92683491548969668905"
"Toropi","RS","0.92599843382928739233"
"Cotipora","RS","0.92563702548101924077"
"Morro Reuter","RS","0.92552662133023718693"
"Arroio do Padre","RS","0.92535590611773759138"
"Imigrante","RS","0.92500000000000000000"
"Coronel Pilar","RS","0.92408214063472308650"
"Iomere","SC","0.92387904066736183525"
"Leoberto Leal","SC","0.92372372372372372372"
"Boa Vista do Sul","RS","0.92335372436128103634"
"Uniao da Serra","RS","0.92136752136752136752"
"Tunapolis","SC","0.92127746135069161920"
"Sao Pedro da Serra","RS","0.91995490417136414882"
"Nova Roma do Sul","RS","0.91950375072129255626"
"Coqueiro Baixo","RS","0.91860465116279069767"
"Morro Grande","SC","0.91827242524916943522"
"Alto Feliz","RS","0.91731770833333333333"
"Tres Cachoeiras","RS","0.91671227878124429849"
"Brochier","RS","0.91623036649214659686"
"Relvado","RS","0.91481069042316258352"
"Putinga","RS","0.91459834534294101948"
"Rancho Queimado","SC","0.91399817017383348582"
"Salvador das Missoes","RS","0.91345151199165797706"
"Progresso","RS","0.91292134831460674157"
"Ipora do Oeste","SC","0.91290840921264059989"
"Tupandi","RS","0.91111552992642672500"
"Sao Jose do Sul","RS","0.91092436974789915966"
"Meleiro","SC","0.91079075078504139309"
"Poco das Antas","RS","0.90925840626439428835"
"Arabuta","SC","0.90886249428962996802"
"Vista Alegre do Prata","RS","0.90817610062893081761"
"Aurora","SC","0.90781710914454277286"
"Pinto Bandeira","RS","0.90635328681601175174"
"Bom Principio","RS","0.90595038806878709481"
"Capitao","RS","0.90516946251283806915"
"Alto Bela Vista","SC","0.90355603448275862069"
"Bom Jesus do Oeste","SC","0.90352080475537265661"
"Santo Cristo","RS","0.90267624020887728460"
"Barao","RS","0.90264664912552236496"
"Linha Nova","RS","0.90255496137849079026"
"Lontras","SC","0.90227608172143245553"
"Salvador do Sul","RS","0.90158453263555749382"
"Presidente Nereu","SC","0.90134724033029117775"
"Chuvisca","RS","0.90123993909071133348"
"Sao Joao do Sul","SC","0.90032302722658052607"
"Itati","RS","0.90030326004548900682"
"Feliz","RS","0.89981110142400464981"
