"mun_name","uf","indice_diversidade"
"Pau Brasil","BA","0.69950476611360993383032"
"Gaucha do Norte","MT","0.6973868516490323169369"
"Itacuruba","PE","0.69538904886573365729192"
"Coronel Sapucaia","MS","0.68186466878171943050"
"Tacuru","MS","0.6811049166639728994176"
"General Carneiro","MT","0.679293712186039329160"
"Pesqueira","PE","0.678805765566001485812"
"Rondolandia","MT","0.67716378273548486879"
"Miranda","MS","0.676943517697360569338"
"Mirandiba","PE","0.67589805506755391772942"
"Nova Nazare","MT","0.67420430839002267573188"
"Banzae","BA","0.6724834378092180299508"
"Itapora","MS","0.67233944388539472106"
"Paranhos","MS","0.6693732610633240916010"
"Dois Irmaos do Buriti","MS","0.66738157617076535994"
"Rodelas","BA","0.6658324648554441705379"
"Cumaru do Norte","PA","0.6654467056214443809711"
"Caarapo","MS","0.66478675389662710490"
"Luciara","MT","0.66317748731112435248"
"Carmesia","MG","0.662553704119863985183"
"Santa Cruz Cabralia","BA","0.662337005290401812766"
"Alto Boa Vista","MT","0.661761155621076674250"
"Fernando Falcao","MA","0.66147994171209689515902"
"Senador Cortes","MG","0.6608087531887755102029"
"Jatoba","PE","0.6604272376328090500412"
"Macuco","RJ","0.65948597011311385818"
"Volta Grande","MG","0.65840435953974035484855"
"Rio das Flores","RJ","0.65807423433268662419886"
"Alem Paraiba","MG","0.65805500112672664655164"
"Belmiro Braga","MG","0.65708180216231502415567"
"Miracema","RJ","0.6537532822932591612165"
"Oiapoque","AP","0.6537517625512127391943"
"Barao do Monte Alto","MG","0.6533853576532662892490"
"Amambai","MS","0.652399317309864613783"
"Santana do Deserto","MG","0.6522518610921118355458"
"Santa Terezinha","MT","0.6509169899292912402788"
"Aquidauana","MS","0.65009364172627679430"
"Barra do Pirai","RJ","0.6497782594134306819347"
"Amparo do Serra","MG","0.64941308194428690305"
"Cantagalo","RJ","0.6483390576056042456300"
"Faria Lemos","MG","0.64757721474349387366934"
"Argirita","MG","0.64657710414895124715"
"Itaju do Colonia","BA","0.6465656034378469319308"
"Laje do Muriae","RJ","0.64584003507002707848967"
"Guarani","MG","0.6456444343673681804149"
"Comendador Levy Gasparian","RJ","0.6450888521406056751605"
"Feliz Natal","MT","0.644766111591229533276"
"Vassouras","RJ","0.6447488068143670605246"
"Minduri","MG","0.644521314310363762820"
"Tres Rios","RJ","0.6441797547557174652630"
"Coronel Xavier Chaves","MG","0.643543109410019390741"
"Douradina","MS","0.643123480671968360045"
"Antonio Joao","MS","0.64294024913442082447"
"Estrela Dalva","MG","0.642901806304613321566"
"Ichu","BA","0.64266384104854095276055"
"Leopoldina","MG","0.6408199908095425203829"
"Jordao","AC","0.640163257024340115100"
"Portalegre","RN","0.63921747325465817072146"
"Pacaraima","RR","0.6389668458873328078256"
